Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,Učenik/Student,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju i striming aplikacije. Najčešće provodi 60 minuta dnevno uz televiziju, 30 minuta uz radio, 10 minuta na informativnim portalima i 40 minuta na društvenim mrežama, posebno Facebook-u. Ima poverenje u štampane medije, radio stanice, internet portale i društvene mreže, dok ne veruje u TV stanice. Prati sadržaje pretežno preko RTS-a i najčešće gleda vesti, reportaže, zabavne programe i sportske prenose. Smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama, posebno na Facebook-u."
Beograd,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku televiziju. Najčešće koristi internet, provodeći 30 minuta dnevno uz televiziju, 60 minuta uz informativne portale i društvene mreže, te 90 minuta uz striming servise. Ispitanik nema poverenja u sve medijske kanale, uključujući TV stanice, štampu i društvene mreže. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati informativno-zabavni program i humorističke emisije. Zainteresovan je za naučno-obrazovne, kulturne i zabavne sadržaje, ali ne smatra da su mediji dovoljno objektivni ili pravovremeni."
Vojvodina,Muško,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao jedinu medijsku uslugu, provodeći 200 minuta dnevno gledajući TV, pretežno kanale sa nacionalnom pokrivenošću. Ima poverenje u te TV stanice i prati informativne programe, posebno vesti. Ne koristi internet, društvene mreže ili striming servise, a medijske sadržaje pronalazi kombinovanjem više izvora. Zainteresovan je za sportski i kulturno-umetnički program, dok ne prati zabavne, dečije ili rijaliti sadržaje. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Južna i Istočna Srbija,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao jedinu medijsku uslugu, provodeći 240 minuta dnevno gledajući TV, pretežno kanale sa nacionalnom pokrivenošću poput RTS-a i PINK-a. Ima puno poverenje u ove TV stanice, dok poverenje u kablovske i specijalizovane informativne kanale nije izraženo. Ispitanik se najviše interesuje za informativne i zabavne programe, posebno kvizove i muzičke sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati Pink. Smatra da u medijima nije prisutan štetan sadržaj."
Beograd,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati sadržaje na Instagramu. Dnevno provodi 20 minuta gledajući televiziju, 60 minuta na radiju, 30 minuta na informativnim portalima, 60 minuta na društvenim mrežama i 60 minuta na striming servisima. Ima veoma malo poverenja u tradicionalne medije, dok se oslanja na kombinaciju više izvora za pronalaženje sadržaja. Zainteresovan je za dokumentarne, naučno-obrazovne, kulturne, zabavne i sportske programe, dok smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao jedinu medijsku uslugu, provodeći 600 minuta dnevno gledajući TV, dok ne koristi internet, radio, društvene mreže ili striming servise. Ima puno poverenje u nacionalne i regionalne TV stanice, kao i u kablovske i štampane medije. Najčešće prati RTS i informativno-zabavne programe, a interesuje ga širok spektar sadržaja, uključujući dokumentarne, naučno-obrazovne, kulturne i sportske programe. Kombinuje više medija za pronalaženje sadržaja i smatra da u medijima nema štetnih sadržaja."
Vojvodina,Muško,Četvorogodišnja srednja škola,Penzioner,neka druga,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije i društvene mreže. Dnevno provodi 180 minuta uz televiziju i 60 minuta na informativnim internet portalima. Ima puno poverenje u nacionalne TV stanice, dok ne veruje lokalnim i kablovskim stanicama. Najčešće prati medij Pink, smatra da je nepristrasan i u skladu sa njegovim uverenjima. Zainteresovan je za informativne i sportske programe, dok ne prati dečije i zabavne sadržaje. Veruje da su štetni sadržaji veoma zastupljeni na televiziji."
Južna i Istočna Srbija,Žensko,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge kao primarni medij, provodeći 60 minuta dnevno na društvenim mrežama, dok ne gleda televiziju, ne prati striming servise i ne koristi informativne portale. Ima poverenje u nacionalne i regionalne TV stanice, ali ne u kablovske i društvene mreže poput YouTube-a. Najčešće prati Blic, a medijske sadržaje pronalazi isključivo preko jednog medija. Zainteresovan je za kulturno-umetnički, zabavni, rijaliti, muzički i sportski program, dok smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama, posebno na Facebook-u. Ispitanik bi preferirao internet dnevne novine koje pokrivaju kulturne i zabavne teme."
Beograd,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 120 minuta dnevno gledajući televiziju i 30 minuta na informativnim internet portalima. Ne koristi zemaljsku antenu, striming aplikacije, društvene mreže ili radio. Ima veoma malo poverenja u sve vrste medija, uključujući televiziju i internet portale, ali veruje u kablovsku stanicu N1. Zainteresovan je za informativne, dokumentarne, naučno-obrazovne, kulturno-umetničke, dečije i sportske programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, provodeći 180 minuta dnevno gledajući televiziju, dok internet i društvene mreže takođe igraju značajnu ulogu u njegovim medijskim navikama. Ima poverenje u kablovske TV stanice i štampane medije, dok je najčešće korišćeni medij Instagram, na kojem ima puno poverenje. Ispitanik se najviše interesuje za filmski i serijski program, kao i zabavne sadržaje, dok ne prati dokumentarne i kulturno-umetničke programe. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji u štampanim dnevnim novinama, posebno u mediju Kurir."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, radio i striming aplikacije. Najčešće prati društvene mreže, posebno Tik-Tok i Instagram, i provodi 90 minuta dnevno na televiziji i društvenim mrežama. Ima poverenje u društvene mreže, dok ne veruje u TV stanice i štampane medije. Prati informativno-dokumentarne i zabavne programe, a najviše se interesuje za sportski sadržaj. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 50 minuta dnevno gledajući televiziju i 60 minuta na društvenim mrežama. Ne koristi zemaljsku antenu, striming aplikacije ili informativne internet portale. Ima neutralan stav prema poverenju u medije, posebno prema TV stanicama, dok jedino ima poverenje u Instagram. Prati informativno-dokumentarne programe i kvizove, a najčešće gleda domaći serijski program. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji u medijima uopšte nisu prisutni."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati informativne portale i društvene mreže, provodeći po 60 minuta dnevno na njima. Ima poverenje u društvene mreže, ali ne i u TV stanice i štampane medije. Prati N1 zbog pravovremenih informacija, ali bi prestao da ga prati zbog širenja dezinformacija. Zainteresovan je za informativne i naučno-obrazovne sadržaje, dok su mu zabavni i kulturni programi manje zanimljivi. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Južna i Istočna Srbija,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati kablovsku televiziju, provodeći 180 minuta dnevno uz televiziju i 120 minuta uz radio. Ima puno poverenje u kablovske TV stanice i poverenje u radio stanice, dok nema poverenje u nacionalne i lokalne TV stanice. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati Facebook. Zainteresovan je za informativne i zabavne programe, kao i sportske sadržaje. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji."
Vojvodina,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi društvene mreže, posebno Instagram, na kojima provodi značajno vreme (240 minuta dnevno). Poverenje u medije je nisko, a najčešće prati sportske prenose i strane serije. Iako ne prati informativne programe, kombinuje više medija za pronalaženje sadržaja. Zainteresovan je za filmski i sportski program, dok ne veruje u medije koje prati. Razlozi za izbor medija uključuju poverenje i usklađenost sa ličnim uverenjima."
